url,title,snippet,text
https://www.cancer.gov/types/lung/patient/non-small-cell-lung-treatment-pdq,Patient education: Non-small cell lung cancer treatment; stage IV ...,"Common treatments for stage IV non-small cell lung cancer: In stage IV lung 
cancer, chemotherapy is often the recommended course of treatment.",
https://www.cancer.org/cancer/lung-cancer/treating-non-small-cell/by-stage.html,Patient education: Non-small cell lung cancer treatment; stage I to III ...,"Although some patients with Stage IV NSCLC have cancer that has spread to 
only a single other site that can be treated with surgery or radiation therapy, 
systemic ...","Stage IV NSCLC is widespread when it is diagnosed. Because these cancers have spread to distant parts of the body, they are very hard to cure. Treatment options depend on where and how far the cancer has spread, whether the cancer cells have certain gene or protein changes, and your overall health.,If you are in otherwise good health, treatments such as surgery , chemotherapy (chemo), targeted therapy , immunotherapy , and radiation therapy may help you live longer and make you feel better by relieving symptoms, even though they aren’t likely to cure you.,Other treatments, such as photodynamic therapy (PDT) or laser therapy, may also be used to help relieve symptoms . In any case, if you are going to be treated for advanced NSCLC, be sure you understand the goals of treatment before you start."
https://www.cancer.gov/types/lung/hp/non-small-cell-lung-treatment-pdq,Patient education: Non-small cell lung cancer treatment; stage IV ...,"Common treatments for stage IV non-small cell lung cancer: In stage IV lung 
cancer, chemotherapy is often the recommended course of treatment.",
https://www.uptodate.com/contents/non-small-cell-lung-cancer-treatment-stage-i-to-iii-cancer-beyond-the-basics,Non-Small Cell Lung Cancer Treatment (PDQ®)–Patient Version ...,"Oct 30, 2018 ... Stage IV NSCLC includes cancers that have spread to areas beyond the chest, 
like the brain (figure 1). Stage IV cancer also includes people who ...",
https://www.lungcancer.org/find_information/publications/163-lung_cancer_101/269-non_small_cell_lung_cancer_treatment,"Treatment of non-small cell lung cancer, stage IV: ACCP evidence ...","... tomography for mediastinal staging in patients with non-small-cell lung cancer: 
a meta-analysis.",
https://www.uptodate.com/contents/non-small-cell-lung-cancer-treatment-stage-iv-cancer-beyond-the-basics,Non-Small Cell Lung Cancer Treatment (PDQ®)–Patient Version ...,"Oct 30, 2018 ... Stage IV NSCLC includes cancers that have spread to areas beyond the chest, 
like the brain (figure 1). Stage IV cancer also includes people who ...",
https://www.cancercenter.com/cancer-types/lung-cancer/stages,Treatment of stage IV non-small cell lung cancer: Diagnosis and ...,"Treatment for stage IIIA NSCLC may include some combination of radiation 
therapy, chemotherapy (chemo), and/or surgery. For this reason, planning 
treatment for ...","Stage IV non-small cell lung cancer (NSCLC) is the most advanced form of the disease. In stage IV , the cancer has metastasized, or spread, beyond the lungs into other areas of the body. About 40 percent of NSCLC patients are diagnosed with lung cancer when they are in stage IV. The five-year survival rate for those diagnosed with stage IV lung cancer is less than 10 percent.,Numerous treatment options are available for patients with advanced-stage lung disease at Cancer Treatment Centers of America ® (CTCA). We also provide therapies to ease the symptoms that can be associated with NSCLC, while improving your quality of life.,M1B stage IV lung cancer means that the cancer has spread to distant lymph nodes or to other organs such as the bones, liver, adrenal gland, kidneys or brain.,Common treatments for stage IV non-small cell lung cancer: In stage IV lung cancer, chemotherapy is often the recommended course of treatment. Immunotherapy may also be recommended as a secondary approach.,We also provide therapies to ease the symptoms that can be associated with NSCLC, while improving your quality of life.,Learn more about stage IV lung cancer,Next topic: How is lung cancer diagnosed?"
https://ascopubs.org/full/doi/10.1200/JCO.2017.74.6065,Stage IV Non-Small Cell Lung Cancer | Texas Oncology,"Sep 26, 2019 ... Non-small cell lung cancer (NSCLC) accounts for between 85 and 90 percent of 
all lung cancers; the remaining 10 to 15 percent are small cell ...",
https://www.cancercenter.com/cancer-types/lung-cancer/stages/stage-iv-lung-cancer,Treatment of stage IV non-small cell lung cancer: Diagnosis and ...,"Treatment for stage IIIA NSCLC may include some combination of radiation 
therapy, chemotherapy (chemo), and/or surgery. For this reason, planning 
treatment for ...","The symptoms of stage IV lung cancer may depend on where in the body the disease has spread. For instance:,Clinical trials are a key testing ground for determining the effectiveness and safety of new treatments for many types and stages of cancer, including stage IV lung cancer. As part of our commitment to providing innovative treatment options to our patients, the doctors at CTCA ® may recommend that stage IV lung cancer patients enroll in carefully selected clinical trials.,Clinical trials may offer treatment options before they are approved by the U.S. Food and Drug Administration and that may be otherwise unavailable. Talk to your doctor about whether a clinical trial is a good option for you and ask about the risks and various requirements involved.,Search clinical trials for lung cancer"
https://www.texasoncology.com/types-of-cancer/lung-cancer/non-small-cell-lung-cancer/stage-iv-non-small-cell-lung-cancer,Treatment of stage I and II non-small cell lung cancer: Diagnosis and ...,"Each of these types of treatments may cause different side effects. Surgery. Most 
stage I and stage II non-small cell lung cancers are treated with surgery to 
remove ...","Chemotherapy uses drugs that kill rapidly dividing cells, a hallmark of cancer. Cancer chemotherapy may consist of single drugs or combinations of drugs. It can be administered through a vein, injected into a body cavity, or delivered orally in the form of a pill.,Chemotherapy is different from surgery or radiation therapy in that the cancer-fighting drugs circulate in the blood to parts of the body where the cancer may have spread; it thus can kill or eliminate cancers cells at sites great distances from the original cancer. As a result, chemotherapy is considered a systemic treatment.,Patients with advanced NSCLC are treated with chemotherapy to alleviate the symptoms of their disease and prolong their duration of survival. Most treatments involve a combination (regimen) of two chemotherapy drugs. The most commonly used regimens include either cisplatin or carboplatin; combined with one of several other drugs approved for the treatment of NSCLC; Alimta ® (pemetrexed), Taxol ® (paclitaxel), Taxotere ® (docetaxel), Gemzar ® (gemcitabine), Camptosar ® (irinotecan), or Navelbine ® (vinorelbine). 1"
